	station_id	stationname	date	daytype	rides	newDates	season
252422	40580	54th/Cermak	06/04/2001	W	1678	2001-06-04	Summer
846993	40580	54th/Cermak	06/05/2001	W	1510	2001-06-05	Summer
659928	40580	54th/Cermak	06/06/2001	W	1629	2001-06-06	Summer
910791	40580	54th/Cermak	06/07/2001	W	1690	2001-06-07	Summer
231594	40580	54th/Cermak	06/08/2001	W	1652	2001-06-08	Summer
691556	40580	54th/Cermak	06/09/2001	A	2	2001-06-09	Summer
643139	40580	54th/Cermak	06/10/2001	U	0	2001-06-10	Summer
625025	40580	54th/Cermak	06/11/2001	W	1670	2001-06-11	Summer
192289	40580	54th/Cermak	06/12/2001	W	1696	2001-06-12	Summer
406731	40580	54th/Cermak	06/13/2001	W	1737	2001-06-13	Summer
348739	40580	54th/Cermak	06/14/2001	W	1720	2001-06-14	Summer
537120	40580	54th/Cermak	06/15/2001	W	1729	2001-06-15	Summer
493942	40580	54th/Cermak	06/16/2001	A	3	2001-06-16	Summer
541133	40580	54th/Cermak	06/17/2001	U	0	2001-06-17	Summer
607002	40580	54th/Cermak	06/18/2001	W	1669	2001-06-18	Summer
528177	40580	54th/Cermak	06/19/2001	W	1680	2001-06-19	Summer
467304	40580	54th/Cermak	06/20/2001	W	1627	2001-06-20	Summer
753794	40580	54th/Cermak	06/21/2001	W	1567	2001-06-21	Summer
341425	40580	54th/Cermak	06/22/2001	W	1719	2001-06-22	Summer
842127	40580	54th/Cermak	06/23/2001	A	2	2001-06-23	Summer
806437	40580	54th/Cermak	06/24/2001	U	0	2001-06-24	Summer
399339	40580	54th/Cermak	06/25/2001	W	1675	2001-06-25	Summer
606169	40580	54th/Cermak	06/26/2001	W	1689	2001-06-26	Summer
871184	40580	54th/Cermak	06/27/2001	W	1667	2001-06-27	Summer
385683	40580	54th/Cermak	06/28/2001	W	1691	2001-06-28	Summer
208506	40580	54th/Cermak	06/29/2001	W	1848	2001-06-29	Summer
407128	40580	54th/Cermak	06/30/2001	A	2	2001-06-30	Summer
229579	40580	54th/Cermak	07/01/2001	U	0	2001-07-01	Summer
247351	40580	54th/Cermak	07/02/2001	W	1743	2001-07-02	Summer
872497	40580	54th/Cermak	07/03/2001	W	3046	2001-07-03	Summer
192592	40580	54th/Cermak	07/04/2001	U	3	2001-07-04	Summer
573274	40580	54th/Cermak	07/05/2001	W	1627	2001-07-05	Summer
360704	40580	54th/Cermak	07/06/2001	W	1787	2001-07-06	Summer
754187	40580	54th/Cermak	07/07/2001	A	1	2001-07-07	Summer
889234	40580	54th/Cermak	07/08/2001	U	0	2001-07-08	Summer
617177	40580	54th/Cermak	07/09/2001	W	1762	2001-07-09	Summer
791600	40580	54th/Cermak	07/10/2001	W	1691	2001-07-10	Summer
522534	40580	54th/Cermak	07/11/2001	W	1687	2001-07-11	Summer
739587	40580	54th/Cermak	07/12/2001	W	1714	2001-07-12	Summer
608065	40580	54th/Cermak	07/13/2001	W	1690	2001-07-13	Summer
787952	40580	54th/Cermak	07/14/2001	A	0	2001-07-14	Summer
829888	40580	54th/Cermak	07/15/2001	U	0	2001-07-15	Summer
482979	40580	54th/Cermak	07/16/2001	W	1684	2001-07-16	Summer
481192	40580	54th/Cermak	07/17/2001	W	1625	2001-07-17	Summer
890601	40580	54th/Cermak	07/18/2001	W	1595	2001-07-18	Summer
477165	40580	54th/Cermak	07/19/2001	W	1629	2001-07-19	Summer
612478	40580	54th/Cermak	07/20/2001	W	1618	2001-07-20	Summer
829262	40580	54th/Cermak	07/21/2001	A	3	2001-07-21	Summer
991669	40580	54th/Cermak	07/22/2001	U	0	2001-07-22	Summer
518323	40580	54th/Cermak	07/23/2001	W	1626	2001-07-23	Summer
164519	40580	54th/Cermak	07/24/2001	W	1670	2001-07-24	Summer
922335	40580	54th/Cermak	07/25/2001	W	1705	2001-07-25	Summer
319496	40580	54th/Cermak	07/26/2001	W	1638	2001-07-26	Summer
899601	40580	54th/Cermak	07/27/2001	W	1796	2001-07-27	Summer
630480	40580	54th/Cermak	07/28/2001	A	4	2001-07-28	Summer
801462	40580	54th/Cermak	07/29/2001	U	0	2001-07-29	Summer
662383	40580	54th/Cermak	07/30/2001	W	1670	2001-07-30	Summer
462434	40580	54th/Cermak	07/31/2001	W	1596	2001-07-31	Summer
778027	40580	54th/Cermak	08/01/2001	W	1639	2001-08-01	Summer
221835	40580	54th/Cermak	08/02/2001	W	1489	2001-08-02	Summer
557324	40580	54th/Cermak	08/03/2001	W	1679	2001-08-03	Summer
139165	40580	54th/Cermak	08/04/2001	A	6	2001-08-04	Summer
331198	40580	54th/Cermak	08/05/2001	U	0	2001-08-05	Summer
426705	40580	54th/Cermak	08/06/2001	W	1610	2001-08-06	Summer
568716	40580	54th/Cermak	08/07/2001	W	1618	2001-08-07	Summer
943989	40580	54th/Cermak	08/08/2001	W	1605	2001-08-08	Summer
333878	40580	54th/Cermak	08/09/2001	W	1709	2001-08-09	Summer
432258	40580	54th/Cermak	08/10/2001	W	1712	2001-08-10	Summer
987595	40580	54th/Cermak	08/11/2001	A	5	2001-08-11	Summer
349120	40580	54th/Cermak	08/12/2001	U	0	2001-08-12	Summer
948314	40580	54th/Cermak	08/13/2001	W	1592	2001-08-13	Summer
774765	40580	54th/Cermak	08/14/2001	W	1610	2001-08-14	Summer
584551	40580	54th/Cermak	08/15/2001	W	1694	2001-08-15	Summer
800226	40580	54th/Cermak	08/16/2001	W	1581	2001-08-16	Summer
943345	40580	54th/Cermak	08/17/2001	W	1804	2001-08-17	Summer
488159	40580	54th/Cermak	08/18/2001	A	5	2001-08-18	Summer
316643	40580	54th/Cermak	08/19/2001	U	0	2001-08-19	Summer
976126	40580	54th/Cermak	08/20/2001	W	1644	2001-08-20	Summer
264916	40580	54th/Cermak	08/21/2001	W	1753	2001-08-21	Summer
408077	40580	54th/Cermak	08/22/2001	W	1635	2001-08-22	Summer
815857	40580	54th/Cermak	08/23/2001	W	1689	2001-08-23	Summer
193794	40580	54th/Cermak	08/24/2001	W	1691	2001-08-24	Summer
237645	40580	54th/Cermak	08/25/2001	A	0	2001-08-25	Summer
854984	40580	54th/Cermak	08/26/2001	U	0	2001-08-26	Summer
230837	40580	54th/Cermak	08/27/2001	W	1775	2001-08-27	Summer
985018	40580	54th/Cermak	08/28/2001	W	1734	2001-08-28	Summer
382366	40580	54th/Cermak	08/29/2001	W	1746	2001-08-29	Summer
363644	40580	54th/Cermak	08/30/2001	W	1668	2001-08-30	Summer
196052	40580	54th/Cermak	08/31/2001	W	1735	2001-08-31	Summer
485488	40580	54th/Cermak	09/01/2001	A	0	2001-09-01	Fall
513062	40580	54th/Cermak	09/02/2001	U	0	2001-09-02	Fall
981946	40580	54th/Cermak	09/03/2001	U	2	2001-09-03	Fall
377554	40580	54th/Cermak	09/04/2001	W	1756	2001-09-04	Fall
560372	40580	54th/Cermak	09/05/2001	W	1751	2001-09-05	Fall
188051	40580	54th/Cermak	09/06/2001	W	1781	2001-09-06	Fall
311612	40580	54th/Cermak	09/07/2001	W	1794	2001-09-07	Fall
504855	40580	54th/Cermak	09/08/2001	A	2	2001-09-08	Fall
975516	40580	54th/Cermak	09/09/2001	U	0	2001-09-09	Fall
244595	40580	54th/Cermak	09/10/2001	W	1873	2001-09-10	Fall
750980	40580	54th/Cermak	09/11/2001	W	1512	2001-09-11	Fall
722445	40580	54th/Cermak	09/12/2001	W	1606	2001-09-12	Fall
295624	40580	54th/Cermak	09/13/2001	W	1651	2001-09-13	Fall
784369	40580	54th/Cermak	09/14/2001	W	1724	2001-09-14	Fall
386317	40580	54th/Cermak	09/15/2001	A	3	2001-09-15	Fall
577328	40580	54th/Cermak	09/16/2001	U	0	2001-09-16	Fall
181104	40580	54th/Cermak	09/17/2001	W	1663	2001-09-17	Fall
677785	40580	54th/Cermak	09/18/2001	W	1718	2001-09-18	Fall
361121	40580	54th/Cermak	09/19/2001	W	1676	2001-09-19	Fall
868715	40580	54th/Cermak	09/20/2001	W	1713	2001-09-20	Fall
686663	40580	54th/Cermak	09/21/2001	W	1577	2001-09-21	Fall
382981	40580	54th/Cermak	09/22/2001	A	1	2001-09-22	Fall
993905	40580	54th/Cermak	09/23/2001	U	0	2001-09-23	Fall
445874	40580	54th/Cermak	09/24/2001	W	1664	2001-09-24	Fall
195250	40580	54th/Cermak	09/25/2001	W	1679	2001-09-25	Fall
457105	40580	54th/Cermak	09/26/2001	W	1740	2001-09-26	Fall
699572	40580	54th/Cermak	09/27/2001	W	1724	2001-09-27	Fall
862237	40580	54th/Cermak	09/28/2001	W	1718	2001-09-28	Fall
154467	40580	54th/Cermak	09/29/2001	A	7	2001-09-29	Fall
159915	40580	54th/Cermak	09/30/2001	U	0	2001-09-30	Fall
341549	40580	54th/Cermak	10/01/2001	W	1871	2001-10-01	Fall
703523	40580	54th/Cermak	10/02/2001	W	1800	2001-10-02	Fall
848003	40580	54th/Cermak	10/03/2001	W	1880	2001-10-03	Fall
552540	40580	54th/Cermak	10/04/2001	W	1734	2001-10-04	Fall
696450	40580	54th/Cermak	10/05/2001	W	1731	2001-10-05	Fall
569644	40580	54th/Cermak	10/06/2001	A	2	2001-10-06	Fall
363845	40580	54th/Cermak	10/07/2001	U	0	2001-10-07	Fall
958757	40580	54th/Cermak	10/08/2001	W	1510	2001-10-08	Fall
421229	40580	54th/Cermak	10/09/2001	W	1686	2001-10-09	Fall
787489	40580	54th/Cermak	10/10/2001	W	1623	2001-10-10	Fall
508611	40580	54th/Cermak	10/11/2001	W	1683	2001-10-11	Fall
750814	40580	54th/Cermak	10/12/2001	W	1679	2001-10-12	Fall
864113	40580	54th/Cermak	10/13/2001	A	0	2001-10-13	Fall
946559	40580	54th/Cermak	10/14/2001	U	0	2001-10-14	Fall
209359	40580	54th/Cermak	10/15/2001	W	1691	2001-10-15	Fall
919140	40580	54th/Cermak	10/16/2001	W	1625	2001-10-16	Fall
699221	40580	54th/Cermak	10/17/2001	W	1798	2001-10-17	Fall
597579	40580	54th/Cermak	10/18/2001	W	1720	2001-10-18	Fall
232318	40580	54th/Cermak	10/19/2001	W	1736	2001-10-19	Fall
380171	40580	54th/Cermak	10/20/2001	A	1	2001-10-20	Fall
768003	40580	54th/Cermak	10/21/2001	U	0	2001-10-21	Fall
872028	40580	54th/Cermak	10/22/2001	W	1714	2001-10-22	Fall
913719	40580	54th/Cermak	10/23/2001	W	1684	2001-10-23	Fall
281121	40580	54th/Cermak	10/24/2001	W	1643	2001-10-24	Fall
169616	40580	54th/Cermak	10/25/2001	W	1550	2001-10-25	Fall
456702	40580	54th/Cermak	10/26/2001	W	1625	2001-10-26	Fall
750239	40580	54th/Cermak	10/27/2001	A	1	2001-10-27	Fall
481393	40580	54th/Cermak	10/28/2001	U	0	2001-10-28	Fall
191053	40580	54th/Cermak	10/29/2001	W	1742	2001-10-29	Fall
579822	40580	54th/Cermak	10/30/2001	W	1626	2001-10-30	Fall
810649	40580	54th/Cermak	10/31/2001	W	1673	2001-10-31	Fall
376173	40580	54th/Cermak	11/01/2001	W	1687	2001-11-01	Fall
882230	40580	54th/Cermak	11/02/2001	W	1751	2001-11-02	Fall
961757	40580	54th/Cermak	11/03/2001	A	4	2001-11-03	Fall
165677	40580	54th/Cermak	11/04/2001	U	0	2001-11-04	Fall
558854	40580	54th/Cermak	11/05/2001	W	1754	2001-11-05	Fall
768266	40580	54th/Cermak	11/06/2001	W	1730	2001-11-06	Fall
255023	40580	54th/Cermak	11/07/2001	W	1809	2001-11-07	Fall
912939	40580	54th/Cermak	11/08/2001	W	1653	2001-11-08	Fall
209263	40580	54th/Cermak	11/09/2001	W	1721	2001-11-09	Fall
405386	40580	54th/Cermak	11/10/2001	A	4	2001-11-10	Fall
175228	40580	54th/Cermak	11/11/2001	U	0	2001-11-11	Fall
672025	40580	54th/Cermak	11/12/2001	W	1525	2001-11-12	Fall
890326	40580	54th/Cermak	11/13/2001	W	1664	2001-11-13	Fall
710427	40580	54th/Cermak	11/14/2001	W	1674	2001-11-14	Fall
172770	40580	54th/Cermak	11/15/2001	W	1661	2001-11-15	Fall
330754	40580	54th/Cermak	11/16/2001	W	1597	2001-11-16	Fall
464132	40580	54th/Cermak	11/17/2001	A	1	2001-11-17	Fall
889199	40580	54th/Cermak	11/18/2001	U	0	2001-11-18	Fall
658303	40580	54th/Cermak	11/19/2001	W	1675	2001-11-19	Fall
427360	40580	54th/Cermak	11/20/2001	W	1596	2001-11-20	Fall
613933	40580	54th/Cermak	11/21/2001	W	1557	2001-11-21	Fall
182391	40580	54th/Cermak	11/22/2001	U	2	2001-11-22	Fall
876586	40580	54th/Cermak	11/23/2001	W	1189	2001-11-23	Fall
581273	40580	54th/Cermak	11/24/2001	A	3	2001-11-24	Fall
772489	40580	54th/Cermak	11/25/2001	U	0	2001-11-25	Fall
581890	40580	54th/Cermak	11/26/2001	W	1662	2001-11-26	Fall
148487	40580	54th/Cermak	11/27/2001	W	1609	2001-11-27	Fall
803186	40580	54th/Cermak	11/28/2001	W	1681	2001-11-28	Fall
942791	40580	54th/Cermak	11/29/2001	W	1658	2001-11-29	Fall
304508	40580	54th/Cermak	11/30/2001	W	1703	2001-11-30	Fall
513084	40580	54th/Cermak	12/01/2001	A	2	2001-12-01	Winter
381909	40580	54th/Cermak	12/02/2001	U	0	2001-12-02	Winter
257307	40580	54th/Cermak	12/03/2001	W	1687	2001-12-03	Winter
633669	40580	54th/Cermak	12/04/2001	W	1738	2001-12-04	Winter
906083	40580	54th/Cermak	12/05/2001	W	1700	2001-12-05	Winter
258970	40580	54th/Cermak	12/06/2001	W	1636	2001-12-06	Winter
231224	40580	54th/Cermak	12/07/2001	W	1735	2001-12-07	Winter
810591	40580	54th/Cermak	12/08/2001	A	1	2001-12-08	Winter
459741	40580	54th/Cermak	12/09/2001	U	0	2001-12-09	Winter
579986	40580	54th/Cermak	12/10/2001	W	1609	2001-12-10	Winter
709331	40580	54th/Cermak	12/11/2001	W	1577	2001-12-11	Winter
416174	40580	54th/Cermak	12/12/2001	W	1608	2001-12-12	Winter
773969	40580	54th/Cermak	12/13/2001	W	1531	2001-12-13	Winter
593889	40580	54th/Cermak	12/14/2001	W	1482	2001-12-14	Winter
177252	40580	54th/Cermak	12/15/2001	A	2	2001-12-15	Winter
827523	40580	54th/Cermak	12/16/2001	U	0	2001-12-16	Winter
273671	40580	54th/Cermak	12/17/2001	W	1508	2001-12-17	Winter
601456	40580	54th/Cermak	12/18/2001	W	1525	2001-12-18	Winter
991042	40580	54th/Cermak	12/19/2001	W	1523	2001-12-19	Winter
370244	40580	54th/Cermak	12/20/2001	W	1471	2001-12-20	Winter
802202	40580	54th/Cermak	12/21/2001	W	1576	2001-12-21	Winter
874250	40580	54th/Cermak	12/22/2001	A	0	2001-12-22	Winter
214494	40580	54th/Cermak	12/23/2001	U	0	2001-12-23	Winter
665105	40580	54th/Cermak	12/24/2001	W	702	2001-12-24	Winter
1013755	40580	54th/Cermak	12/25/2001	U	0	2001-12-25	Winter
1013429	40580	54th/Cermak	12/26/2001	W	1152	2001-12-26	Winter
285945	40580	54th/Cermak	12/27/2001	W	1203	2001-12-27	Winter
511935	40580	54th/Cermak	12/28/2001	W	1289	2001-12-28	Winter
338974	40580	54th/Cermak	12/29/2001	A	2	2001-12-29	Winter
946066	40580	54th/Cermak	12/30/2001	U	0	2001-12-30	Winter
688725	40580	54th/Cermak	12/31/2001	W	772	2001-12-31	Winter
469003	40580	54th/Cermak	01/01/2002	U	0	2002-01-01	Winter
484004	40580	54th/Cermak	01/02/2002	W	1268	2002-01-02	Winter
470784	40580	54th/Cermak	01/03/2002	W	1391	2002-01-03	Winter
870092	40580	54th/Cermak	01/04/2002	W	1369	2002-01-04	Winter
946440	40580	54th/Cermak	01/05/2002	A	1	2002-01-05	Winter
898664	40580	54th/Cermak	01/06/2002	U	0	2002-01-06	Winter
402646	40580	54th/Cermak	01/07/2002	W	1528	2002-01-07	Winter
361062	40580	54th/Cermak	01/08/2002	W	1493	2002-01-08	Winter
472611	40580	54th/Cermak	01/09/2002	W	1517	2002-01-09	Winter
185367	40580	54th/Cermak	01/10/2002	W	1461	2002-01-10	Winter
308423	40580	54th/Cermak	01/11/2002	W	1549	2002-01-11	Winter
606604	40580	54th/Cermak	01/12/2002	A	0	2002-01-12	Winter
967099	40580	54th/Cermak	01/13/2002	U	0	2002-01-13	Winter
440886	40580	54th/Cermak	01/14/2002	W	1507	2002-01-14	Winter
729887	40580	54th/Cermak	01/15/2002	W	1502	2002-01-15	Winter
