	station_id	stationname	date	daytype	rides	newDates
490161	40890	O'Hare Airport	02/11/2001	U	6161	2001-02-11
431597	40890	O'Hare Airport	02/12/2001	W	8279	2001-02-12
665357	40890	O'Hare Airport	02/13/2001	W	7595	2001-02-13
271488	40890	O'Hare Airport	02/14/2001	W	7149	2001-02-14
486515	40890	O'Hare Airport	02/15/2001	W	7714	2001-02-15
330462	40890	O'Hare Airport	02/16/2001	W	8593	2001-02-16
812366	40890	O'Hare Airport	02/17/2001	A	5873	2001-02-17
169529	40890	O'Hare Airport	02/18/2001	U	6226	2001-02-18
899750	40890	O'Hare Airport	02/19/2001	W	8523	2001-02-19
609434	40890	O'Hare Airport	02/20/2001	W	7874	2001-02-20
741800	40890	O'Hare Airport	02/21/2001	W	7341	2001-02-21
268692	40890	O'Hare Airport	02/22/2001	W	7659	2001-02-22
369736	40890	O'Hare Airport	02/23/2001	W	8836	2001-02-23
881784	40890	O'Hare Airport	02/24/2001	A	5843	2001-02-24
241852	40890	O'Hare Airport	02/25/2001	U	6146	2001-02-25
294043	40890	O'Hare Airport	02/26/2001	W	8662	2001-02-26
178305	40890	O'Hare Airport	02/27/2001	W	7473	2001-02-27
147742	40890	O'Hare Airport	02/28/2001	W	7458	2001-02-28
554980	40890	O'Hare Airport	03/01/2001	W	7803	2001-03-01
221490	40890	O'Hare Airport	03/02/2001	W	8286	2001-03-02
682129	40890	O'Hare Airport	03/03/2001	A	6015	2001-03-03
962303	40890	O'Hare Airport	03/04/2001	U	6464	2001-03-04
164266	40890	O'Hare Airport	03/05/2001	W	7840	2001-03-05
565531	40890	O'Hare Airport	03/06/2001	W	7284	2001-03-06
246768	40890	O'Hare Airport	03/07/2001	W	7575	2001-03-07
268200	40890	O'Hare Airport	03/08/2001	W	7950	2001-03-08
321629	40890	O'Hare Airport	03/09/2001	W	8849	2001-03-09
977972	40890	O'Hare Airport	03/10/2001	A	6342	2001-03-10
545575	40890	O'Hare Airport	03/11/2001	U	6605	2001-03-11
393645	40890	O'Hare Airport	03/12/2001	W	8083	2001-03-12
180088	40890	O'Hare Airport	03/13/2001	W	7728	2001-03-13
318075	40890	O'Hare Airport	03/14/2001	W	7813	2001-03-14
238900	40890	O'Hare Airport	03/15/2001	W	8158	2001-03-15
457528	40890	O'Hare Airport	03/16/2001	W	9434	2001-03-16
863447	40890	O'Hare Airport	03/17/2001	A	7144	2001-03-17
470831	40890	O'Hare Airport	03/18/2001	U	7092	2001-03-18
375943	40890	O'Hare Airport	03/19/2001	W	9001	2001-03-19
644719	40890	O'Hare Airport	03/20/2001	W	7997	2001-03-20
654985	40890	O'Hare Airport	03/21/2001	W	8098	2001-03-21
137664	40890	O'Hare Airport	03/22/2001	W	8714	2001-03-22
155004	40890	O'Hare Airport	03/23/2001	W	9092	2001-03-23
882712	40890	O'Hare Airport	03/24/2001	A	6703	2001-03-24
222310	40890	O'Hare Airport	03/25/2001	U	7155	2001-03-25
963089	40890	O'Hare Airport	03/26/2001	W	8651	2001-03-26
170251	40890	O'Hare Airport	03/27/2001	W	7735	2001-03-27
381844	40890	O'Hare Airport	03/28/2001	W	7698	2001-03-28
980775	40890	O'Hare Airport	03/29/2001	W	8170	2001-03-29
831493	40890	O'Hare Airport	03/30/2001	W	8733	2001-03-30
531470	40890	O'Hare Airport	03/31/2001	A	6160	2001-03-31
563849	40890	O'Hare Airport	04/01/2001	U	6741	2001-04-01
666723	40890	O'Hare Airport	04/02/2001	W	8787	2001-04-02
828311	40890	O'Hare Airport	04/03/2001	W	7906	2001-04-03
445761	40890	O'Hare Airport	04/04/2001	W	7857	2001-04-04
214216	40890	O'Hare Airport	04/05/2001	W	7465	2001-04-05
193141	40890	O'Hare Airport	04/06/2001	W	8826	2001-04-06
678394	40890	O'Hare Airport	04/07/2001	A	6330	2001-04-07
931207	40890	O'Hare Airport	04/08/2001	U	7071	2001-04-08
781782	40890	O'Hare Airport	04/09/2001	W	8686	2001-04-09
752667	40890	O'Hare Airport	04/10/2001	W	7916	2001-04-10
745766	40890	O'Hare Airport	04/11/2001	W	7548	2001-04-11
887182	40890	O'Hare Airport	04/12/2001	W	8457	2001-04-12
438401	40890	O'Hare Airport	04/13/2001	W	8069	2001-04-13
739365	40890	O'Hare Airport	04/14/2001	A	5791	2001-04-14
927344	40890	O'Hare Airport	04/15/2001	U	6838	2001-04-15
192110	40890	O'Hare Airport	04/16/2001	W	9386	2001-04-16
630517	40890	O'Hare Airport	04/17/2001	W	8432	2001-04-17
362622	40890	O'Hare Airport	04/18/2001	W	8274	2001-04-18
159492	40890	O'Hare Airport	04/19/2001	W	9074	2001-04-19
503287	40890	O'Hare Airport	04/20/2001	W	9637	2001-04-20
340281	40890	O'Hare Airport	04/21/2001	A	6662	2001-04-21
753365	40890	O'Hare Airport	04/22/2001	U	7217	2001-04-22
670817	40890	O'Hare Airport	04/23/2001	W	8672	2001-04-23
246540	40890	O'Hare Airport	04/24/2001	W	8506	2001-04-24
426916	40890	O'Hare Airport	04/25/2001	W	8018	2001-04-25
221760	40890	O'Hare Airport	04/26/2001	W	8780	2001-04-26
673262	40890	O'Hare Airport	04/27/2001	W	9253	2001-04-27
298715	40890	O'Hare Airport	04/28/2001	A	6486	2001-04-28
945013	40890	O'Hare Airport	04/29/2001	U	7239	2001-04-29
1012103	40890	O'Hare Airport	04/30/2001	W	8989	2001-04-30
511939	40890	O'Hare Airport	05/01/2001	W	7804	2001-05-01
1001909	40890	O'Hare Airport	05/02/2001	W	7693	2001-05-02
260856	40890	O'Hare Airport	05/03/2001	W	8358	2001-05-03
699749	40890	O'Hare Airport	05/04/2001	W	9497	2001-05-04
688937	40890	O'Hare Airport	05/05/2001	A	6506	2001-05-05
205713	40890	O'Hare Airport	05/06/2001	U	7107	2001-05-06
956777	40890	O'Hare Airport	05/07/2001	W	9078	2001-05-07
875780	40890	O'Hare Airport	05/08/2001	W	8079	2001-05-08
300779	40890	O'Hare Airport	05/09/2001	W	8176	2001-05-09
728217	40890	O'Hare Airport	05/10/2001	W	8342	2001-05-10
200513	40890	O'Hare Airport	05/11/2001	W	9765	2001-05-11
635383	40890	O'Hare Airport	05/12/2001	A	6693	2001-05-12
402331	40890	O'Hare Airport	05/13/2001	U	7438	2001-05-13
525892	40890	O'Hare Airport	05/14/2001	W	9077	2001-05-14
747371	40890	O'Hare Airport	05/15/2001	W	8227	2001-05-15
935536	40890	O'Hare Airport	05/16/2001	W	8380	2001-05-16
682494	40890	O'Hare Airport	05/17/2001	W	9214	2001-05-17
135968	40890	O'Hare Airport	05/18/2001	W	10738	2001-05-18
376209	40890	O'Hare Airport	05/19/2001	A	7550	2001-05-19
656883	40890	O'Hare Airport	05/20/2001	U	8041	2001-05-20
826254	40890	O'Hare Airport	05/21/2001	W	10085	2001-05-21
681287	40890	O'Hare Airport	05/22/2001	W	8517	2001-05-22
581660	40890	O'Hare Airport	05/23/2001	W	8345	2001-05-23
976085	40890	O'Hare Airport	05/24/2001	W	9349	2001-05-24
528122	40890	O'Hare Airport	05/25/2001	W	10334	2001-05-25
780873	40890	O'Hare Airport	05/26/2001	A	7320	2001-05-26
788037	40890	O'Hare Airport	05/27/2001	U	6447	2001-05-27
682767	40890	O'Hare Airport	05/28/2001	U	9740	2001-05-28
465062	40890	O'Hare Airport	05/29/2001	W	10042	2001-05-29
331949	40890	O'Hare Airport	05/30/2001	W	8702	2001-05-30
627927	40890	O'Hare Airport	05/31/2001	W	9052	2001-05-31
376013	40890	O'Hare Airport	06/01/2001	W	9364	2001-06-01
323234	40890	O'Hare Airport	06/02/2001	A	5088	2001-06-02
940945	40890	O'Hare Airport	06/03/2001	U	7330	2001-06-03
498850	40890	O'Hare Airport	06/04/2001	W	9384	2001-06-04
261731	40890	O'Hare Airport	06/05/2001	W	8135	2001-06-05
684478	40890	O'Hare Airport	06/06/2001	W	8703	2001-06-06
406596	40890	O'Hare Airport	06/07/2001	W	9974	2001-06-07
868704	40890	O'Hare Airport	06/08/2001	W	10128	2001-06-08
189324	40890	O'Hare Airport	06/09/2001	A	7037	2001-06-09
394729	40890	O'Hare Airport	06/10/2001	U	7915	2001-06-10
412170	40890	O'Hare Airport	06/11/2001	W	9373	2001-06-11
884395	40890	O'Hare Airport	06/12/2001	W	8497	2001-06-12
330487	40890	O'Hare Airport	06/13/2001	W	8698	2001-06-13
148096	40890	O'Hare Airport	06/14/2001	W	9302	2001-06-14
197924	40890	O'Hare Airport	06/15/2001	W	10356	2001-06-15
813720	40890	O'Hare Airport	06/16/2001	A	7985	2001-06-16
552987	40890	O'Hare Airport	06/17/2001	U	8253	2001-06-17
535093	40890	O'Hare Airport	06/18/2001	W	10419	2001-06-18
141535	40890	O'Hare Airport	06/19/2001	W	9230	2001-06-19
512322	40890	O'Hare Airport	06/20/2001	W	8848	2001-06-20
540268	40890	O'Hare Airport	06/21/2001	W	10538	2001-06-21
331758	40890	O'Hare Airport	06/22/2001	W	10710	2001-06-22
297809	40890	O'Hare Airport	06/23/2001	A	8240	2001-06-23
224531	40890	O'Hare Airport	06/24/2001	U	8472	2001-06-24
978289	40890	O'Hare Airport	06/25/2001	W	10371	2001-06-25
1007806	40890	O'Hare Airport	06/26/2001	W	9375	2001-06-26
960131	40890	O'Hare Airport	06/27/2001	W	9194	2001-06-27
647709	40890	O'Hare Airport	06/28/2001	W	9715	2001-06-28
158826	40890	O'Hare Airport	06/29/2001	W	10517	2001-06-29
392760	40890	O'Hare Airport	06/30/2001	A	7376	2001-06-30
396773	40890	O'Hare Airport	07/01/2001	U	7667	2001-07-01
757633	40890	O'Hare Airport	07/02/2001	W	9628	2001-07-02
691733	40890	O'Hare Airport	07/03/2001	W	9026	2001-07-03
625792	40890	O'Hare Airport	07/04/2001	U	6799	2001-07-04
512037	40890	O'Hare Airport	07/05/2001	W	8912	2001-07-05
809404	40890	O'Hare Airport	07/06/2001	W	9363	2001-07-06
668460	40890	O'Hare Airport	07/07/2001	A	7364	2001-07-07
948496	40890	O'Hare Airport	07/08/2001	U	8534	2001-07-08
524969	40890	O'Hare Airport	07/09/2001	W	10493	2001-07-09
728960	40890	O'Hare Airport	07/10/2001	W	8976	2001-07-10
372846	40890	O'Hare Airport	07/11/2001	W	8816	2001-07-11
420208	40890	O'Hare Airport	07/12/2001	W	9833	2001-07-12
628876	40890	O'Hare Airport	07/13/2001	W	10811	2001-07-13
347628	40890	O'Hare Airport	07/14/2001	A	7629	2001-07-14
1000638	40890	O'Hare Airport	07/15/2001	U	8374	2001-07-15
563021	40890	O'Hare Airport	07/16/2001	W	10402	2001-07-16
338772	40890	O'Hare Airport	07/17/2001	W	8864	2001-07-17
280308	40890	O'Hare Airport	07/18/2001	W	8935	2001-07-18
505915	40890	O'Hare Airport	07/19/2001	W	9699	2001-07-19
176299	40890	O'Hare Airport	07/20/2001	W	10746	2001-07-20
690072	40890	O'Hare Airport	07/21/2001	A	7258	2001-07-21
757622	40890	O'Hare Airport	07/22/2001	U	7456	2001-07-22
911942	40890	O'Hare Airport	07/23/2001	W	9952	2001-07-23
749357	40890	O'Hare Airport	07/24/2001	W	9647	2001-07-24
580457	40890	O'Hare Airport	07/25/2001	W	8947	2001-07-25
794059	40890	O'Hare Airport	07/26/2001	W	10297	2001-07-26
743761	40890	O'Hare Airport	07/27/2001	W	11418	2001-07-27
812593	40890	O'Hare Airport	07/28/2001	A	8103	2001-07-28
646740	40890	O'Hare Airport	07/29/2001	U	8611	2001-07-29
871581	40890	O'Hare Airport	07/30/2001	W	10360	2001-07-30
814989	40890	O'Hare Airport	07/31/2001	W	9253	2001-07-31
1002967	40890	O'Hare Airport	08/01/2001	W	9164	2001-08-01
992354	40890	O'Hare Airport	08/02/2001	W	9166	2001-08-02
185562	40890	O'Hare Airport	08/03/2001	W	11143	2001-08-03
986737	40890	O'Hare Airport	08/04/2001	A	7922	2001-08-04
307448	40890	O'Hare Airport	08/05/2001	U	8495	2001-08-05
260587	40890	O'Hare Airport	08/06/2001	W	10294	2001-08-06
907083	40890	O'Hare Airport	08/07/2001	W	8839	2001-08-07
641800	40890	O'Hare Airport	08/08/2001	W	9682	2001-08-08
257925	40890	O'Hare Airport	08/09/2001	W	9263	2001-08-09
927760	40890	O'Hare Airport	08/10/2001	W	11638	2001-08-10
780945	40890	O'Hare Airport	08/11/2001	A	7218	2001-08-11
759288	40890	O'Hare Airport	08/12/2001	U	8928	2001-08-12
593492	40890	O'Hare Airport	08/13/2001	W	10557	2001-08-13
859882	40890	O'Hare Airport	08/14/2001	W	9662	2001-08-14
949395	40890	O'Hare Airport	08/15/2001	W	9360	2001-08-15
761642	40890	O'Hare Airport	08/16/2001	W	9968	2001-08-16
786865	40890	O'Hare Airport	08/17/2001	W	10892	2001-08-17
936392	40890	O'Hare Airport	08/18/2001	A	7631	2001-08-18
870126	40890	O'Hare Airport	08/19/2001	U	8668	2001-08-19
331721	40890	O'Hare Airport	08/20/2001	W	10465	2001-08-20
534897	40890	O'Hare Airport	08/21/2001	W	9351	2001-08-21
190711	40890	O'Hare Airport	08/22/2001	W	8256	2001-08-22
543256	40890	O'Hare Airport	08/23/2001	W	10327	2001-08-23
476023	40890	O'Hare Airport	08/24/2001	W	10998	2001-08-24
763968	40890	O'Hare Airport	08/25/2001	A	8038	2001-08-25
161942	40890	O'Hare Airport	08/26/2001	U	8562	2001-08-26
287736	40890	O'Hare Airport	08/27/2001	W	9875	2001-08-27
229497	40890	O'Hare Airport	08/28/2001	W	9044	2001-08-28
769744	40890	O'Hare Airport	08/29/2001	W	8513	2001-08-29
739095	40890	O'Hare Airport	08/30/2001	W	8839	2001-08-30
558382	40890	O'Hare Airport	08/31/2001	W	11757	2001-08-31
731494	40890	O'Hare Airport	09/01/2001	A	8343	2001-09-01
591770	40890	O'Hare Airport	09/02/2001	U	7083	2001-09-02
223347	40890	O'Hare Airport	09/03/2001	U	10751	2001-09-03
735742	40890	O'Hare Airport	09/04/2001	W	10677	2001-09-04
611437	40890	O'Hare Airport	09/05/2001	W	8701	2001-09-05
497003	40890	O'Hare Airport	09/06/2001	W	8667	2001-09-06
196081	40890	O'Hare Airport	09/07/2001	W	10082	2001-09-07
532869	40890	O'Hare Airport	09/08/2001	A	7965	2001-09-08
928740	40890	O'Hare Airport	09/09/2001	U	7951	2001-09-09
807741	40890	O'Hare Airport	09/10/2001	W	9911	2001-09-10
752567	40890	O'Hare Airport	09/11/2001	W	3976	2001-09-11
188431	40890	O'Hare Airport	09/12/2001	W	3713	2001-09-12
177308	40890	O'Hare Airport	09/13/2001	W	4337	2001-09-13
853217	40890	O'Hare Airport	09/14/2001	W	6712	2001-09-14
303906	40890	O'Hare Airport	09/15/2001	A	5743	2001-09-15
363597	40890	O'Hare Airport	09/16/2001	U	5315	2001-09-16
1007296	40890	O'Hare Airport	09/17/2001	W	6745	2001-09-17
780736	40890	O'Hare Airport	09/18/2001	W	6054	2001-09-18
880587	40890	O'Hare Airport	09/19/2001	W	6301	2001-09-19
964380	40890	O'Hare Airport	09/20/2001	W	7007	2001-09-20
317980	40890	O'Hare Airport	09/21/2001	W	7845	2001-09-21
662309	40890	O'Hare Airport	09/22/2001	A	5527	2001-09-22
727865	40890	O'Hare Airport	09/23/2001	U	6153	2001-09-23
948591	40890	O'Hare Airport	09/24/2001	W	7192	2001-09-24
849772	40890	O'Hare Airport	09/25/2001	W	6409	2001-09-25
373884	40890	O'Hare Airport	09/26/2001	W	6607	2001-09-26
842431	40890	O'Hare Airport	09/27/2001	W	7463	2001-09-27
763903	40890	O'Hare Airport	09/28/2001	W	8800	2001-09-28
142681	40890	O'Hare Airport	09/29/2001	A	5863	2001-09-29
215574	40890	O'Hare Airport	09/30/2001	U	6815	2001-09-30
323238	40890	O'Hare Airport	10/01/2001	W	7828	2001-10-01
968409	40890	O'Hare Airport	10/02/2001	W	6711	2001-10-02
770579	40890	O'Hare Airport	10/03/2001	W	6733	2001-10-03
634760	40890	O'Hare Airport	10/04/2001	W	7977	2001-10-04
315709	40890	O'Hare Airport	10/05/2001	W	10778	2001-10-05
300667	40890	O'Hare Airport	10/06/2001	A	6833	2001-10-06
941672	40890	O'Hare Airport	10/07/2001	U	6788	2001-10-07
607401	40890	O'Hare Airport	10/08/2001	W	8257	2001-10-08
571973	40890	O'Hare Airport	10/09/2001	W	6802	2001-10-09
926123	40890	O'Hare Airport	10/10/2001	W	6768	2001-10-10
276128	40890	O'Hare Airport	10/11/2001	W	7499	2001-10-11
687118	40890	O'Hare Airport	10/12/2001	W	8472	2001-10-12
709256	40890	O'Hare Airport	10/13/2001	A	5486	2001-10-13
961103	40890	O'Hare Airport	10/14/2001	U	7113	2001-10-14
635346	40890	O'Hare Airport	10/15/2001	W	7815	2001-10-15
561233	40890	O'Hare Airport	10/16/2001	W	6672	2001-10-16
1010288	40890	O'Hare Airport	10/17/2001	W	6939	2001-10-17
440609	40890	O'Hare Airport	10/18/2001	W	8026	2001-10-18
524505	40890	O'Hare Airport	10/19/2001	W	9013	2001-10-19
722172	40890	O'Hare Airport	10/20/2001	A	5586	2001-10-20
865262	40890	O'Hare Airport	10/21/2001	U	6997	2001-10-21
222635	40890	O'Hare Airport	10/22/2001	W	7901	2001-10-22
508671	40890	O'Hare Airport	10/23/2001	W	6685	2001-10-23
959155	40890	O'Hare Airport	10/24/2001	W	6442	2001-10-24
360293	40890	O'Hare Airport	10/25/2001	W	7514	2001-10-25
607184	40890	O'Hare Airport	10/26/2001	W	8495	2001-10-26
710598	40890	O'Hare Airport	10/27/2001	A	5545	2001-10-27
688091	40890	O'Hare Airport	10/28/2001	U	6907	2001-10-28
681591	40890	O'Hare Airport	10/29/2001	W	7875	2001-10-29
202562	40890	O'Hare Airport	10/30/2001	W	6529	2001-10-30
401608	40890	O'Hare Airport	10/31/2001	W	6471	2001-10-31
221303	40890	O'Hare Airport	11/01/2001	W	7385	2001-11-01
623622	40890	O'Hare Airport	11/02/2001	W	8652	2001-11-02
890665	40890	O'Hare Airport	11/03/2001	A	5590	2001-11-03
654880	40890	O'Hare Airport	11/04/2001	U	6686	2001-11-04
735526	40890	O'Hare Airport	11/05/2001	W	7666	2001-11-05
306766	40890	O'Hare Airport	11/06/2001	W	6529	2001-11-06
814974	40890	O'Hare Airport	11/07/2001	W	6763	2001-11-07
199745	40890	O'Hare Airport	11/08/2001	W	7330	2001-11-08
915773	40890	O'Hare Airport	11/09/2001	W	8948	2001-11-09
469510	40890	O'Hare Airport	11/10/2001	A	6050	2001-11-10
793027	40890	O'Hare Airport	11/11/2001	U	6857	2001-11-11
698854	40890	O'Hare Airport	11/12/2001	W	7989	2001-11-12
742319	40890	O'Hare Airport	11/13/2001	W	7111	2001-11-13
839908	40890	O'Hare Airport	11/14/2001	W	6809	2001-11-14
533750	40890	O'Hare Airport	11/15/2001	W	7761	2001-11-15
452931	40890	O'Hare Airport	11/16/2001	W	8394	2001-11-16
878841	40890	O'Hare Airport	11/17/2001	A	5795	2001-11-17
279155	40890	O'Hare Airport	11/18/2001	U	6295	2001-11-18
991600	40890	O'Hare Airport	11/19/2001	W	7285	2001-11-19
363166	40890	O'Hare Airport	11/20/2001	W	6986	2001-11-20
437129	40890	O'Hare Airport	11/21/2001	W	8513	2001-11-21
327831	40890	O'Hare Airport	11/22/2001	U	5171	2001-11-22
641549	40890	O'Hare Airport	11/23/2001	W	6068	2001-11-23
638159	40890	O'Hare Airport	11/24/2001	A	7504	2001-11-24
313596	40890	O'Hare Airport	11/25/2001	U	11550	2001-11-25
744010	40890	O'Hare Airport	11/26/2001	W	10536	2001-11-26
514305	40890	O'Hare Airport	11/27/2001	W	7413	2001-11-27
537525	40890	O'Hare Airport	11/28/2001	W	6590	2001-11-28
791759	40890	O'Hare Airport	11/29/2001	W	7089	2001-11-29
443156	40890	O'Hare Airport	11/30/2001	W	7996	2001-11-30
602074	40890	O'Hare Airport	12/01/2001	A	5661	2001-12-01
699903	40890	O'Hare Airport	12/02/2001	U	5893	2001-12-02
984544	40890	O'Hare Airport	12/03/2001	W	7127	2001-12-03
248224	40890	O'Hare Airport	12/04/2001	W	6563	2001-12-04
687284	40890	O'Hare Airport	12/05/2001	W	6521	2001-12-05
492759	40890	O'Hare Airport	12/06/2001	W	7245	2001-12-06
578840	40890	O'Hare Airport	12/07/2001	W	8002	2001-12-07
736840	40890	O'Hare Airport	12/08/2001	A	5374	2001-12-08
940760	40890	O'Hare Airport	12/09/2001	U	5869	2001-12-09
306144	40890	O'Hare Airport	12/10/2001	W	7310	2001-12-10
656252	40890	O'Hare Airport	12/11/2001	W	6496	2001-12-11
957002	40890	O'Hare Airport	12/12/2001	W	6589	2001-12-12
163558	40890	O'Hare Airport	12/13/2001	W	6940	2001-12-13
423427	40890	O'Hare Airport	12/14/2001	W	7967	2001-12-14
658080	40890	O'Hare Airport	12/15/2001	A	5988	2001-12-15
403586	40890	O'Hare Airport	12/16/2001	U	5852	2001-12-16
830593	40890	O'Hare Airport	12/17/2001	W	7240	2001-12-17
377839	40890	O'Hare Airport	12/18/2001	W	6866	2001-12-18
757094	40890	O'Hare Airport	12/19/2001	W	7043	2001-12-19
787647	40890	O'Hare Airport	12/20/2001	W	7256	2001-12-20
351861	40890	O'Hare Airport	12/21/2001	W	7575	2001-12-21
944212	40890	O'Hare Airport	12/22/2001	A	5822	2001-12-22
767279	40890	O'Hare Airport	12/23/2001	U	5187	2001-12-23
192085	40890	O'Hare Airport	12/24/2001	W	5029	2001-12-24
362030	40890	O'Hare Airport	12/25/2001	U	4766	2001-12-25
412232	40890	O'Hare Airport	12/26/2001	W	8725	2001-12-26
708210	40890	O'Hare Airport	12/27/2001	W	7937	2001-12-27
799499	40890	O'Hare Airport	12/28/2001	W	7740	2001-12-28
617155	40890	O'Hare Airport	12/29/2001	A	6711	2001-12-29
876131	40890	O'Hare Airport	12/30/2001	U	6209	2001-12-30
164550	40890	O'Hare Airport	12/31/2001	W	4606	2001-12-31
831586	40890	O'Hare Airport	01/01/2002	U	5980	2002-01-01
633571	40890	O'Hare Airport	01/02/2002	W	7925	2002-01-02
953518	40890	O'Hare Airport	01/03/2002	W	7189	2002-01-03
517605	40890	O'Hare Airport	01/04/2002	W	6939	2002-01-04
215274	40890	O'Hare Airport	01/05/2002	A	5987	2002-01-05
573304	40890	O'Hare Airport	01/06/2002	U	6053	2002-01-06
913483	40890	O'Hare Airport	01/07/2002	W	6921	2002-01-07
327564	40890	O'Hare Airport	01/08/2002	W	6419	2002-01-08
686740	40890	O'Hare Airport	01/09/2002	W	6453	2002-01-09
676099	40890	O'Hare Airport	01/10/2002	W	6800	2002-01-10
909053	40890	O'Hare Airport	01/11/2002	W	7608	2002-01-11
662875	40890	O'Hare Airport	01/12/2002	A	5422	2002-01-12
740279	40890	O'Hare Airport	01/13/2002	U	5802	2002-01-13
344744	40890	O'Hare Airport	01/14/2002	W	6866	2002-01-14
413096	40890	O'Hare Airport	01/15/2002	W	6258	2002-01-15
283445	40890	O'Hare Airport	01/16/2002	W	6346	2002-01-16
446552	40890	O'Hare Airport	01/17/2002	W	6756	2002-01-17
273696	40890	O'Hare Airport	01/18/2002	W	7728	2002-01-18
861825	40890	O'Hare Airport	01/19/2002	A	5707	2002-01-19
201641	40890	O'Hare Airport	01/20/2002	U	5488	2002-01-20
319045	40890	O'Hare Airport	01/21/2002	W	7511	2002-01-21
282396	40890	O'Hare Airport	01/22/2002	W	6827	2002-01-22
725062	40890	O'Hare Airport	01/23/2002	W	6390	2002-01-23
486296	40890	O'Hare Airport	01/24/2002	W	6665	2002-01-24
810905	40890	O'Hare Airport	01/25/2002	W	7490	2002-01-25
708287	40890	O'Hare Airport	01/26/2002	A	5154	2002-01-26
529674	40890	O'Hare Airport	01/27/2002	U	5721	2002-01-27
445736	40890	O'Hare Airport	01/28/2002	W	7005	2002-01-28
335338	40890	O'Hare Airport	01/29/2002	W	6380	2002-01-29
735673	40890	O'Hare Airport	01/30/2002	W	6600	2002-01-30
924397	40890	O'Hare Airport	01/31/2002	W	6834	2002-01-31
491079	40890	O'Hare Airport	02/01/2002	W	7150	2002-02-01
282958	40890	O'Hare Airport	02/02/2002	A	5028	2002-02-02
371337	40890	O'Hare Airport	02/03/2002	U	5560	2002-02-03
465340	40890	O'Hare Airport	02/04/2002	W	7050	2002-02-04
769054	40890	O'Hare Airport	02/05/2002	W	6274	2002-02-05
179786	40890	O'Hare Airport	02/06/2002	W	6356	2002-02-06
414949	40890	O'Hare Airport	02/07/2002	W	6761	2002-02-07
388734	40890	O'Hare Airport	02/08/2002	W	7590	2002-02-08
917344	40890	O'Hare Airport	02/09/2002	A	5239	2002-02-09
862597	40890	O'Hare Airport	02/10/2002	U	5818	2002-02-10
343291	40890	O'Hare Airport	02/11/2002	W	7124	2002-02-11
738293	40890	O'Hare Airport	02/12/2002	W	6388	2002-02-12
988811	40890	O'Hare Airport	02/13/2002	W	6658	2002-02-13
603466	40890	O'Hare Airport	02/14/2002	W	6940	2002-02-14
